# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PGCleanTarget/Train11/Training/Hmmr-Build/hmm_preGroup_1.txt
# target sequence database:        /home/arjen/16/PGCleanTarget/Train11/TrSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_preGroup_1  [M=378]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  148.2  14.8   2.1e-45   2.1e-45      56     372 ..      66     389 ..      18     393 .. 0.86

>> B0Y9F8_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  148.1  14.5   2.2e-45   2.2e-45      38     375 ..      46     400 ..      30     403 .. 0.87

>> P24548_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  146.7  10.6   5.9e-45   5.9e-45      79     369 ..      43     343 ..       1     355 [. 0.87

>> P35337_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  143.6   5.4     5e-44   5.1e-44      37     356 ..      31     360 ..       7     387 .. 0.83

>> A1DBT5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  142.7  16.5   9.6e-44   9.6e-44      36     373 ..      44     398 ..      29     403 .. 0.89

>> P35339_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  142.7  16.2     1e-43     1e-43     111     372 ..     130     401 ..      42     404 .. 0.82

>> Q40312_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  140.8  10.7   3.6e-43   3.6e-43      36     368 ..      33     381 ..       3     392 .. 0.77

>> P26216_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  140.8  15.9   3.8e-43   3.8e-43     110     372 ..     129     401 ..      38     404 .. 0.80

>> P35338_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  139.7  15.9   8.1e-43   8.2e-43      97     372 ..     115     401 ..      38     404 .. 0.80

>> Q6H9K0_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  136.7  10.0   6.5e-42   6.6e-42      35     356 ..      17     349 ..       8     371 .. 0.83

>> Q949Z1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  135.2  13.6   1.9e-41   1.9e-41     127     353 ..     209     427 ..      82     448 .. 0.91

>> P49062_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  131.9  10.5   1.8e-40   1.8e-40      79     359 ..     108     388 ..      80     395 .. 0.84

>> Q5ARN5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  125.6   4.6   1.5e-38   1.6e-38      31     367 ..      59     434 ..      51     437 .. 0.82

>> Q9P4W4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -1.4   0.1         6         6     339     353 ..      46      60 ..      29      88 .. 0.71
   2 !  126.2  14.8     1e-38     1e-38     134     365 ..     139     360 ..      94     368 .. 0.86

>> Q8NK99_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -1.9   0.1       8.1       8.1     339     353 ..      46      60 ..      40      84 .. 0.71
   2 !  123.0  17.6   9.1e-38   9.2e-38     126     366 ..     130     361 ..      94     369 .. 0.85

>> Q9P358_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -2.0   0.0       8.7       8.8     339     353 ..      46      60 ..      40      78 .. 0.71
   2 !  119.6  17.3     1e-36     1e-36     126     366 ..     130     361 ..      94     369 .. 0.85

>> P26215_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  118.5  23.6   2.1e-36   2.2e-36     102     360 ..      88     353 ..       8     362 .. 0.84

>> Q0CXI3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  118.8   0.3   1.8e-36   1.8e-36      27     326 ..      22     344 ..       3     358 .. 0.84
   2 ?   -0.7   0.1       3.7       3.7     333     366 ..     373     407 ..     363     411 .. 0.78

>> Q9Y834_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  116.9  14.8   6.6e-36   6.6e-36      16     363 ..       8     364 ..       1     368 [. 0.79

>> Q27UB0_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  116.7   3.8   7.7e-36   7.8e-36      20     326 ..      19     354 ..       2     382 .. 0.81

>> Q2UQ40_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  115.5   3.0   1.8e-35   1.9e-35      27     326 ..      31     353 ..       5     402 .. 0.80

>> O42824_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  113.1  22.9   9.7e-35   9.8e-35      82     366 ..      80     364 ..       7     370 .. 0.79

>> P41750_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  112.5  16.8   1.4e-34   1.4e-34     125     362 ..     127     359 ..      90     364 .. 0.86

>> O42809_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  112.5  13.8   1.5e-34   1.5e-34     136     363 ..     152     372 ..     101     377 .. 0.86

>> A1CIV8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  112.2  16.2   1.9e-34   1.9e-34     103     363 ..      94     362 ..      74     366 .. 0.85

>> Q5B508_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  111.6  16.9   2.7e-34   2.7e-34     125     363 ..     126     358 ..      91     362 .. 0.83

>> Q2UHL4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  110.8  21.4   4.8e-34   4.8e-34     124     362 ..     127     360 ..      20     365 .. 0.86

>> Q00446_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  111.4  14.5   3.2e-34   3.2e-34     125     360 ..     123     350 ..      86     359 .. 0.85

>> A2QBB6_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  111.3  14.2   3.4e-34   3.5e-34     136     363 ..     152     372 ..     102     377 .. 0.86

>> Q1HAY5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  111.0  16.8   4.2e-34   4.2e-34     104     364 ..      88     355 ..      63     362 .] 0.83

>> A1CVV8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  110.5  14.9     6e-34     6e-34     124     365 ..     128     360 ..      89     367 .. 0.84

>> A1D7I1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  108.2   6.9   2.9e-33     3e-33      17     326 ..      18     356 ..       7     423 .. 0.80

>> O74213_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -2.0   0.1       9.1       9.1     338     355 ..      56      73 ..      36      90 .. 0.76
   2 !  109.7  22.7     1e-33     1e-33     126     363 ..     141     372 ..     102     377 .. 0.86

>> Q9P4W3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  109.4  17.4   1.2e-33   1.3e-33     104     364 ..      88     355 ..      65     362 .] 0.83

>> Q4WQT2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  109.0  15.5   1.6e-33   1.7e-33     123     361 ..     127     358 ..      65     367 .. 0.84

>> Q0CMU3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  108.6  16.5   2.2e-33   2.2e-33     116     362 ..     109     361 ..      66     367 .. 0.83

>> Q4WX94_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  105.9   4.8   1.5e-32   1.5e-32      36     326 ..      44     356 ..       8     423 .. 0.80

>> B0XYC4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  105.8   4.1   1.6e-32   1.6e-32      36     326 ..      44     356 ..       8     423 .. 0.80

>> P19805_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  108.1  12.3   3.1e-33   3.2e-33     136     362 ..     135     355 ..      76     359 .. 0.86

>> Q70HJ4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  106.2  22.0   1.2e-32   1.2e-32     124     364 ..     129     360 ..      16     368 .. 0.85

>> A2RAY7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   96.7   0.4     9e-30   9.1e-30      13     267 ..      11     297 ..       2     306 .. 0.79
   2 !   11.7   0.4   0.00062   0.00063     308     356 ..     350     398 ..     312     418 .. 0.83

>> P49575_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?    0.1   0.1       2.1       2.1     338     354 ..      41      57 ..      37      65 .. 0.86
   2 !  106.1  17.6   1.3e-32   1.3e-32     103     363 ..      90     357 ..      64     362 .. 0.84

>> Q5AYH4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  103.9  16.6   5.9e-32     6e-32     119     362 ..     264     507 ..     201     511 .. 0.82

>> P41749_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?    0.1   0.1       2.1       2.1     338     354 ..      41      57 ..      37      65 .. 0.86
   2 !  103.3  19.2   9.4e-32   9.5e-32     103     363 ..      90     357 ..      79     362 .. 0.84

>> P26213_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -0.7   0.1       3.6       3.7     339     354 ..      46      61 ..      32      83 .. 0.83
   2 !  103.1  16.9   1.1e-31   1.1e-31     124     363 ..     128     362 ..      94     367 .. 0.86

>> B8N7Z8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?    0.2   0.1       1.9       1.9     338     354 ..      41      57 ..      35      68 .. 0.87
   2 !  102.9  18.3   1.2e-31   1.2e-31     103     363 ..      90     357 ..      68     362 .. 0.83

>> P35335_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -0.0   0.1       2.2       2.2     338     353 ..      41      56 ..      36      62 .. 0.86
   2 !  102.8  18.9   1.3e-31   1.3e-31     103     363 ..      90     357 ..      70     362 .. 0.83

>> Q9P359_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  102.8  17.1   1.3e-31   1.3e-31     136     362 ..     135     355 ..      87     361 .. 0.86

>> O93883_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?    0.7   0.2       1.4       1.4     339     355 ..      53      69 ..      38      88 .. 0.86
   2 !  102.4  16.3   1.7e-31   1.8e-31     123     359 ..     134     364 ..      78     372 .. 0.84

>> Q8NK98_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  102.3  16.9   1.8e-31   1.8e-31     136     359 ..     135     352 ..      87     359 .. 0.86

>> A2QBB4_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   98.5   4.6   2.6e-30   2.6e-30      14     366 ..      12     428 ..       3     434 .. 0.72

>> Q2EQQ2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   98.3   4.5     3e-30     3e-30      29     366 ..      29     428 ..       4     433 .. 0.72

>> P26214_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  100.7  16.4   5.8e-31   5.8e-31     135     362 ..     134     355 ..      85     360 .. 0.84

>> A2QG68_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   98.7  18.6   2.2e-30   2.2e-30      30     370 ..      32     410 ..       5     416 .. 0.79

>> B0YAH0_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   99.9  14.4     1e-30     1e-30     135     363 ..     137     358 ..     118     362 .. 0.89

>> Q4WBE1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -1.2   0.1       5.3       5.3      51      66 ..      67      82 ..      28      87 .. 0.70
   2 !   99.8  14.5   1.1e-30   1.1e-30     135     363 ..     137     358 ..     120     362 .. 0.88

>> Q70HJ3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   99.2  12.1   1.6e-30   1.6e-30     124     363 ..     141     376 ..      99     382 .. 0.83

>> Q9Y833_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   99.4  17.1   1.4e-30   1.4e-30     105     363 ..     106     374 ..      84     379 .. 0.83

>> Q12708_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   97.3  14.4   6.1e-30   6.1e-30     136     348 ..     156     362 ..      86     375 .. 0.83

>> Q12554_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   96.6  16.6     1e-29     1e-29     136     361 ..     153     371 ..      41     380 .. 0.87

>> A2QL39_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   96.6  16.6     1e-29     1e-29     136     361 ..     154     372 ..      42     381 .. 0.87

>> Q4WR80_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   96.3  18.1   1.2e-29   1.3e-29     103     357 ..     100     364 ..      47     376 .. 0.84

>> Q2UP32_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   94.6   1.1   4.1e-29   4.1e-29      11     355 ..       6     414 ..       2     435 .. 0.74

>> A1D145_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   96.0  17.6   1.5e-29   1.5e-29     103     357 ..     100     364 ..      48     377 .. 0.86

>> A1DAQ2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 ?   -1.2   0.1         5       5.1      51      67 ..      67      83 ..      30      97 .. 0.76
   2 !   96.6  18.9   9.8e-30   9.8e-30     135     363 ..     137     358 ..      95     362 .. 0.89

>> Q5ATQ3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   93.9  20.6   6.6e-29   6.6e-29     134     356 ..     146     363 ..      25     379 .. 0.79

>> O59925_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   92.9  20.1   1.3e-28   1.3e-28     104     364 ..     102     370 ..      91     376 .. 0.83

>> Q07181_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   89.3  23.3   1.6e-27   1.6e-27      73     360 ..      59     362 ..      30     371 .. 0.77

>> Q2UT29_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   86.1  13.1   1.6e-26   1.6e-26     134     361 ..     257     484 ..     211     488 .. 0.83

>> Q9Y718_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   86.5  16.5   1.1e-26   1.1e-26     102     330 ..      92     328 ..       2     348 .. 0.76

>> B8MW78_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   85.5  13.3   2.3e-26   2.3e-26     134     359 ..     257     482 ..     211     488 .. 0.83

>> A1DBR6_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   85.9  19.5   1.8e-26   1.8e-26     135     362 ..     236     463 ..     158     469 .. 0.80

>> P47180_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   85.1  16.2     3e-26   3.1e-26     102     332 ..      86     324 ..      10     350 .. 0.83

>> Q9P4W2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   82.8  24.2   1.5e-25   1.6e-25      96     362 ..     207     488 ..     128     492 .. 0.81

>> A1D415_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   78.0   9.9   4.4e-24   4.5e-24      28     354 ..      28     396 ..       3     416 .. 0.70

>> P18192_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   76.3  21.1   1.5e-23   1.5e-23      28     365 ..      37     400 ..       8     402 .] 0.78

>> P26509_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   73.8  20.7   8.5e-23   8.6e-23      30     364 ..      39     399 ..       9     402 .] 0.78

>> B8NKB9_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   72.8   8.8   1.6e-22   1.6e-22      36     371 ..      52     381 ..      30     389 .. 0.79

>> Q00001_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   64.8  11.0   4.5e-20   4.5e-20      26     370 ..      33     374 ..      15     382 .. 0.79

>> A2R3G4_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   64.5   0.3   5.6e-20   5.6e-20      22     352 ..      32     359 ..       9     381 .. 0.78

>> Q2TWN8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   63.1   1.0   1.5e-19   1.5e-19      21     351 ..      31     358 ..       6     379 .. 0.76

>> Q0CFC7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   61.7   0.3     4e-19     4e-19      23     280 ..      32     291 ..      12     363 .. 0.75

>> Q5ARE6_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   60.4   5.1     1e-18     1e-18      20     367 ..      32     371 ..      18     375 .. 0.77

>> P87160_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   59.1   6.4   2.4e-18   2.4e-18      24     354 ..      31     358 ..      23     376 .. 0.76

>> O97400_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
